"","player","salary","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"302","Nemanja Bjelica",4e+06,"PF",82,240,12,30,69,11,19,72,26,6,5,11,42,87,"MIN"
"303","Nene Hilario",1.3e+07,"PF",83,250,10,33,55,19,34,55,22,7,1,10,32,85,"WAS"
"304","Nerlens Noel",3457800,"PF",83,228,13,57,135,25,40,110,16,20,13,40,36,139,"PHI"
"305","Nick Collison",3750000,"PF",82,255,12,16,32,6,6,42,14,7,6,14,29,38,"OKC"
"306","Nick Young",5219169,"SG",79,210,14,44,107,16,16,26,9,9,3,10,14,130,"LAL"
"307","Nicolas Batum",12235750,"SG",80,200,14,77,174,51,57,86,57,14,8,42,24,237,"CHO"
"308","Nik Stauskas",2869440,"SG",78,205,14,44,133,17,22,36,29,8,4,18,17,129,"PHI"
"309","Nikola Jokic",1300000,"C",82,250,14,43,81,23,31,72,12,13,6,12,24,110,"DEN"
"310","Nikola Mirotic",5543725,"PF",82,220,13,48,129,37,45,85,19,12,3,29,30,156,"CHI"
"311","Nikola Vucevic",11250000,"C",85,260,11,74,147,15,19,90,24,8,15,16,26,163,"ORL"
"312","Noah Vonleh",2637720,"PF",82,240,16,17,49,9,12,50,5,1,6,13,31,45,"POR"
"313","Norman Powell",650000,"SG",76,215,8,5,22,0,0,9,1,3,0,3,5,10,"TOR"
"314","O.J. Mayo",8e+06,"G",77,210,3,7,13,0,0,6,4,4,0,2,8,19,"MIL"
"315","Omer Asik",1.1e+07,"C",85,255,7,1,6,9,14,33,0,2,3,8,12,11,"NOP"
"316","Omri Casspi",3e+06,"SF",81,225,15,62,123,14,26,91,19,14,2,28,35,156,"SAC"
"317","Otto Porter",4662960,"SF",80,198,11,55,111,25,29,52,27,20,4,13,29,146,"WAS"
"318","P.J. Hairston",1201440,"SF",78,230,11,18,53,8,9,27,7,2,3,4,22,53,"CHO"
"319","P.J. Tucker",5500000,"SF",78,245,14,33,82,17,22,68,16,15,1,12,30,94,"PHO"
"320","Pablo Prigioni",981348,"PG",75,185,5,2,16,0,0,5,6,5,0,4,5,6,"LAC"
"321","Pat Connaughton",525093,"SG",77,206,4,1,4,2,2,1,0,0,0,1,0,5,"POR"
"322","Patrick Beverley",6500000,"PG",73,185,7,13,38,0,0,22,8,5,1,10,21,33,"HOU"
